benchmark,run,result
quadratic,baseline,785
quadratic,enhanced_dse,785
primes-between,baseline,574100
primes-between,enhanced_dse,574100
birthday,baseline,484
birthday,enhanced_dse,484
orders,baseline,5352
orders,enhanced_dse,5352
sum-check,baseline,5018
sum-check,enhanced_dse,5018
palindrome,baseline,298
palindrome,enhanced_dse,298
totient,baseline,253
totient,enhanced_dse,253
relative-primes,baseline,1923
relative-primes,enhanced_dse,1923
hanoi,baseline,99
hanoi,enhanced_dse,99
is-decreasing,baseline,127
is-decreasing,enhanced_dse,127
check-primes,baseline,8468
check-primes,enhanced_dse,8468
sum-sq-diff,baseline,3038
sum-sq-diff,enhanced_dse,3038
fitsinside,baseline,10
fitsinside,enhanced_dse,10
fact,baseline,229
fact,enhanced_dse,229
loopfact,baseline,116
loopfact,enhanced_dse,116
recfact,baseline,104
recfact,enhanced_dse,104
factors,baseline,72
factors,enhanced_dse,72
perfect,baseline,232
perfect,enhanced_dse,232
bitshift,baseline,167
bitshift,enhanced_dse,167
digital-root,baseline,247
digital-root,enhanced_dse,247
up-arrow,baseline,252
up-arrow,enhanced_dse,252
sum-divisors,baseline,159
sum-divisors,enhanced_dse,159
ackermann,baseline,1464231
ackermann,enhanced_dse,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,enhanced_dse,61518
euclid,baseline,563
euclid,enhanced_dse,563
binary-fmt,baseline,100
binary-fmt,enhanced_dse,100
lcm,baseline,2326
lcm,enhanced_dse,2326
gcd,baseline,46
gcd,enhanced_dse,46
catalan,baseline,659378
catalan,enhanced_dse,659378
armstrong,baseline,133
armstrong,enhanced_dse,133
pascals-row,baseline,146
pascals-row,enhanced_dse,146
collatz,baseline,169
collatz,enhanced_dse,169
sum-bits,baseline,73
sum-bits,enhanced_dse,73
rectangles-area-difference,baseline,14
rectangles-area-difference,enhanced_dse,14
mod_inv,baseline,558
mod_inv,enhanced_dse,558
reverse,baseline,46
reverse,enhanced_dse,46
fizz-buzz,baseline,3652
fizz-buzz,enhanced_dse,3652
bitwise-ops,baseline,1690
bitwise-ops,enhanced_dse,1690
cholesky,baseline,3761
cholesky,enhanced_dse,incorrect
mat-inv,baseline,1044
mat-inv,enhanced_dse,incorrect
dead-branch,baseline,1196
dead-branch,enhanced_dse,1196
function_call,baseline,59809726
function_call,enhanced_dse,59809726
ray-sphere-intersection,baseline,142
ray-sphere-intersection,enhanced_dse,142
conjugate-gradient,baseline,1999
conjugate-gradient,enhanced_dse,1999
leibniz,baseline,12499997
leibniz,enhanced_dse,12499997
n_root,baseline,733
n_root,enhanced_dse,733
newton,baseline,217
newton,enhanced_dse,217
euler,baseline,1908
euler,enhanced_dse,1908
riemann,baseline,298
riemann,enhanced_dse,298
mandelbrot,baseline,2720947
mandelbrot,enhanced_dse,2720947
norm,baseline,505
norm,enhanced_dse,incorrect
cordic,baseline,517
cordic,enhanced_dse,517
pow,baseline,36
pow,enhanced_dse,36
sqrt,baseline,322
sqrt,enhanced_dse,322
quickselect,baseline,279
quickselect,enhanced_dse,incorrect
sieve,baseline,3482
sieve,enhanced_dse,incorrect
bubblesort,baseline,253
bubblesort,enhanced_dse,incorrect
primitive-root,baseline,11029
primitive-root,enhanced_dse,11029
adler32,baseline,6851
adler32,enhanced_dse,6851
adj2csr,baseline,56629
adj2csr,enhanced_dse,56629
csrmv,baseline,121202
csrmv,enhanced_dse,121202
dot-product,baseline,88
dot-product,enhanced_dse,incorrect
major-elm,baseline,47
major-elm,enhanced_dse,incorrect
max-subarray,baseline,193
max-subarray,enhanced_dse,incorrect
mat-mul,baseline,1990407
mat-mul,enhanced_dse,1990407
fib,baseline,121
fib,enhanced_dse,incorrect
vsmul,baseline,86036
vsmul,enhanced_dse,86036
quicksort-hoare,baseline,27333
quicksort-hoare,enhanced_dse,incorrect
quicksort,baseline,264
quicksort,enhanced_dse,incorrect
two-sum,baseline,98
two-sum,enhanced_dse,incorrect
eight-queens,baseline,1006454
eight-queens,enhanced_dse,1006454
binary-search,baseline,78
binary-search,enhanced_dse,incorrect
